連番,索引番号,山名＜山頂名＞,山名よみ＜山頂名よみ＞,標高値(m),種別,都道府県,緯度,経度
359,335,武甲山,ぶこうざん,1304,測定点,埼玉県,35.951624,139.097796
360,336,伊豆ヶ岳,いずがたけ,851,三角点,埼玉県,35.926873,139.160641
361,337,川乗山,かわのりやま,1363,三角点,東京都,35.850801,139.106883
362,338,酉谷山（天目山）,とりだにやま（てんもくさん）,1718,三角点,埼玉県 東京都,35.897096,139.010309
363,339,雲取山,くもとりやま,2017,三角点,埼玉県 東京都,35.855508,138.943913
364,340,白石山,はくせきさん,2036,三角点,埼玉県,35.899407,138.878015
365,341,唐松尾山,からまつおやま,2109,三角点,埼玉県 山梨県,35.867685,138.845407
366,342,大洞山（飛龍山）,おおぼらやま（ひりゅうやま）,2077,標高点,埼玉県 山梨県,35.839787,138.892214
367,343,鶏冠山（黒川山）,けいかんやま（くろかわやま）,1716,標高点,山梨県,35.788483,138.835644
368,344,大菩薩嶺,だいぼさつれい,2057,三角点,山梨県,35.748762,138.845506
369,345,小金沢山,こがねざわやま,2014,三角点,山梨県,35.716946,138.856623
370,346,雁ケ腹摺山,がんがはらすりやま,1874,標高点,山梨県,35.686789,138.884831
371,347-1,権現山,ごんげんやま,1312,三角点,山梨県,35.667872,139.021435
372,347-2,権現山＜扇山＞,ごんげんやま＜おうぎやま＞,1138,標高点,山梨県,35.63708,139.013417
373,348,三頭山,みとうさん,1531,標高点,東京都,35.738944,139.013762
374,349,大岳山,おおだけさん,1266,三角点,東京都,35.76522,139.130419
375,350,陣馬山（陣場山）,じんばさん（じんばさん）,855,標高点,東京都 神奈川県,35.652177,139.166546
376,351,高尾山,たかおさん,599,三角点,東京都,35.625166,139.243611
377,352,清澄山＜妙見山＞,きよすみやま＜みょうけんやま＞,377,標高点,千葉県,35.162267,140.152313
378,353,鹿野山,かのうざん,379,標高点,千葉県,35.2556,139.971855
379,354,鋸山,のこぎりやま,329,三角点,千葉県,35.160369,139.840864
380,355,富山,とみさん,349,三角点,千葉県,35.09885,139.881524
381,356,伊予ヶ岳,いよがたけ,336,三角点,千葉県,35.107302,139.913976
382,357,愛宕山,あたごやま,408,三角点,千葉県,35.11488,139.986821
383,358,大山,おおやま,193,三角点,千葉県,34.964189,139.777722
384,359,大楠山,おおぐすやま,241,三角点,神奈川県,35.250068,139.628076
385,360,大山,おおやま,1252,標高点,神奈川県,35.440835,139.231158
386,361-1,丹沢山＜蛭ヶ岳＞,たんざわさん＜ひるがたけ＞,1673,標高点,神奈川県,35.486279,139.138865
387,361-2,丹沢山,たんざわさん,1567,三角点,神奈川県,35.474293,139.16268
388,361-3,丹沢山＜塔ノ岳＞,たんざわさん＜とうのだけ＞,1491,標高点,神奈川県,35.454059,139.163313
389,362,大室山,おおむろやま,1587,三角点,神奈川県 山梨県,35.51096,139.06858
390,363,御正体山,みしょうたいやま,1681,三角点,山梨県,35.486924,138.931607
391,364,菰釣山,こもつるしやま,1379,標高点,神奈川県 山梨県,35.463695,138.978497
392,365,三ツ峠山,みつとうげやま,1785,三角点,山梨県,35.549272,138.809204
393,366-1,黒岳,くろたけ,1793,三角点,山梨県,35.552071,138.749436
394,366-2,黒岳＜釈迦ヶ岳＞,くろたけ＜しゃかがたけ＞,1641,標高点,山梨県,35.562904,138.72094
395,367,節刀ヶ岳,せっとうがたけ,1736,標高点,山梨県,35.52849,138.683427
396,368,富士山＜剣ヶ峯＞,ふじさん＜けんがみね＞,3776,測定点,山梨県 静岡県,35.360738,138.727373
397,369,愛鷹山＜越前岳＞,あしたかやま＜えちぜんだけ＞,1504,標高点,静岡県,35.238057,138.794016
398,370,毛無山,けなしやま,1964,標高点,山梨県 静岡県,35.415833,138.543888
399,371,天子ヶ岳,てんしがたけ,1330,標高点,静岡県,35.329078,138.536708
400,372-1,箱根山＜神山＞,はこねやま＜かみやま＞,1438,三角点,神奈川県,35.233404,139.020872
401,372-2,箱根山＜金時山＞,はこねやま＜きんときざん＞,1212,三角点,静岡県 神奈川県,35.289673,139.004866
402,373,玄岳,くろたけ,798,三角点,静岡県,35.08167,139.028108
403,374,大室山,おおむろやま,580,三角点,静岡県,34.903099,139.094653
404,375,天城山＜万三郎岳＞,あまぎさん＜ばんざぶろうだけ＞,1405,三角点,静岡県,34.862844,139.001803
405,376,達磨山,だるまやま,982,三角点,静岡県,34.954989,138.839287
406,377,長九郎山,ちょうくろうやま,996,三角点,静岡県,34.788372,138.867996
407,378,三原山＜三原新山＞,みはらやま＜みはらしんざん＞,758,標高点,東京都,34.724493,139.394473
408,379,宮塚山,みやつかやま,508,三角点,東京都,34.52041,139.279288
409,380,天上山,てんじょうさん,572,三角点,東京都,34.21954,139.153171
410,381,雄山,おやま,775,標高点,東京都,34.093581,139.526183
411,382,御山,おやま,851,三角点,東京都,33.874456,139.601835
412,383,西山（八丈富士）,にしやま（はちじょうふじ）,854,三角点,東京都,33.13704,139.766064
413,384,硫黄山,いおうやま,394,標高点,東京都,30.48386,140.302979
414,385,中央山,ちゅうおうざん,319,三角点,東京都,27.073342,142.218704
415,386,乳房山,ちぶさやま,462,三角点,東京都,26.659541,142.161478
416,387,榊ヶ峰,さかきがみね,792,標高点,東京都,25.427729,141.281192
417,388,摺鉢山（パイプ山）,すりばちやま（ぱいぷやま）,172,標高点,東京都,24.750385,141.28911
418,389,[南硫黄島],[みなみいおうとう],916,標高点,東京都,24.233895,141.463556
419,390,金北山,きんぽくさん,1172,三角点,新潟県,38.103882,138.349816
420,391,大地山,おおちやま,646,三角点,新潟県,37.958575,138.47971
421,392,弥彦山,やひこやま,634,標高点,新潟県,37.704721,138.809053
422,393,米山,よねやま,992,三角点,新潟県,37.28954,138.483947
423,394,黒姫山,くろひめさん,891,標高点,新潟県,37.22608,138.592154
424,395,菱ヶ岳,ひしがたけ,1129,三角点,新潟県,37.032165,138.493284
425,396,斑尾山,まだらおやま,1381,三角点,長野県,36.837396,138.274312
426,397,鉾ヶ岳,ほこがたけ,1316,三角点,新潟県,37.028665,138.026453
427,398,駒ヶ岳,こまがたけ,1498,標高点,新潟県,36.942751,137.948408
428,399,鋸岳,のこぎりだけ,1631,三角点,新潟県,36.931868,137.968928
429,400,焼山,やけやま,2400,三角点,新潟県,36.920958,138.03595
430,401,雨飾山,あまかざりやま,1963,三角点,新潟県 長野県,36.902021,137.96261
431,402,火打山,ひうちやま,2462,三角点,新潟県,36.922702,138.068122
432,403,妙高山,みょうこうさん,2454,標高点,新潟県,36.89126,138.113457
433,404,黒姫山,くろひめやま,2053,標高点,長野県,36.813474,138.127183
434,405,高妻山,たかつまやま,2353,三角点,新潟県 長野県,36.800046,138.051934
435,406,戸隠山,とがくしやま,1904,標高点,長野県,36.770389,138.05511
436,407,飯縄山（飯綱山）,いいづなやま（いいづなやま）,1917,三角点,長野県,36.739437,138.133694
437,408,虫倉山,むしくらやま,1378,標高点,長野県,36.649806,138.018948
438,409,聖山,ひじりやま,1447,三角点,長野県,36.484201,138.021415
